module_id,trait_in,trait_out,in_name,out_name,subpathway_cn,subpathway_en,pathway_class,rule_confidence,ratio_trait,direction_sign,suggested_forward_ratio_expr,suggested_reverse_ratio_expr,suggested_forward_ratio_name,suggested_reverse_ratio_name,fill_rule,note,norm_fwd,norm_rev
M_1,GCST90199648,GCST90200440,"1,5-anhydroglucitol (1,5-ag)",Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199648,GCST90199648 / GCST90200440,"Glucose / 1,5-anhydroglucitol (1,5-ag)","1,5-anhydroglucitol (1,5-ag) / Glucose",若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199648,gcst90199648/gcst90200440
M_2,GCST90199623,GCST90200440,Maltotriose,Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200440 / GCST90199623,GCST90199623 / GCST90200440,Glucose / Maltotriose,Maltotriose / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199623,gcst90199623/gcst90200440
M_3,GCST90199623,GCST90200447,Maltotriose,Maltose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200447 / GCST90199623,GCST90199623 / GCST90200447,Maltose / Maltotriose,Maltotriose / Maltose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200447/gcst90199623,gcst90199623/gcst90200447
M_4,GCST90199973,GCST90200440,Methyl glucopyranoside (alpha + beta),Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90200440 / GCST90199973,GCST90199973 / GCST90200440,Glucose / Methyl glucopyranoside (alpha + beta),Methyl glucopyranoside (alpha + beta) / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199973,gcst90199973/gcst90200440
M_5,GCST90200435,GCST90200437,Mannose,Fructose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200951,-1.0,GCST90200437 / GCST90200435,GCST90200435 / GCST90200437,Fructose / Mannose,Mannose / Fructose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200437/gcst90200435,gcst90200435/gcst90200437
M_6,GCST90200435,GCST90199818,Mannose,Mannitol/sorbitol,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90199818 / GCST90200435,GCST90200435 / GCST90199818,Mannitol/sorbitol / Mannose,Mannose / Mannitol/sorbitol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199818/gcst90200435,gcst90200435/gcst90199818
M_7,GCST90200435,GCST90199932,Mannose,Mannonate,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90199932 / GCST90200435,GCST90200435 / GCST90199932,Mannonate / Mannose,Mannose / Mannonate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199932/gcst90200435,gcst90200435/gcst90199932
M_8,GCST90200437,GCST90200440,Fructose,Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,GCST90200915,1.0,GCST90200440 / GCST90200437,GCST90200437 / GCST90200440,Glucose / Fructose,Fructose / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90200437,gcst90200437/gcst90200440
M_9,GCST90200437,GCST90200430,Fructose,Pyruvate,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200430 / GCST90200437,GCST90200437 / GCST90200430,Pyruvate / Fructose,Fructose / Pyruvate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200430/gcst90200437,gcst90200437/gcst90200430
M_10,GCST90200440,GCST90200437,Glucose,Fructose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,GCST90200915,-1.0,GCST90200437 / GCST90200440,GCST90200440 / GCST90200437,Fructose / Glucose,Glucose / Fructose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200437/gcst90200440,gcst90200440/gcst90200437
M_11,GCST90200440,GCST90199818,Glucose,Mannitol/sorbitol,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90199818 / GCST90200440,GCST90200440 / GCST90199818,Mannitol/sorbitol / Glucose,Glucose / Mannitol/sorbitol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199818/gcst90200440,gcst90200440/gcst90199818
M_12,GCST90200440,GCST90200430,Glucose,Pyruvate,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200430 / GCST90200440,GCST90200440 / GCST90200430,Pyruvate / Glucose,Glucose / Pyruvate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200430/gcst90200440,gcst90200440/gcst90200430
